Date,Value
01/10/2010,12.5998
02/10/2010,N/E
03/10/2010,N/E
04/10/2010,12.5511
05/10/2010,12.5875
06/10/2010,12.5099
07/10/2010,12.4779
08/10/2010,12.5277
09/10/2010,N/E
10/10/2010,N/E
11/10/2010,12.4895
12/10/2010,12.4224
13/10/2010,12.4320
14/10/2010,12.3683
15/10/2010,12.4101
16/10/2010,N/E
17/10/2010,N/E
18/10/2010,12.4276
19/10/2010,12.4135
20/10/2010,12.4818
21/10/2010,12.4117
22/10/2010,12.3613
23/10/2010,N/E
24/10/2010,N/E
25/10/2010,12.3877
26/10/2010,12.3205
27/10/2010,12.3859
28/10/2010,12.4776
29/10/2010,12.4023
30/10/2010,N/E
31/10/2010,N/E
01/11/2010,12.3387
02/11/2010,12.3452
03/11/2010,N/E
04/11/2010,12.3041
05/11/2010,12.2381
06/11/2010,N/E
07/11/2010,N/E
08/11/2010,12.2055
09/11/2010,12.2483
10/11/2010,12.2068
11/11/2010,12.2714
12/11/2010,12.2596
13/11/2010,N/E
14/11/2010,N/E
15/11/2010,12.2626
16/11/2010,N/E
17/11/2010,12.4353
18/11/2010,12.3783
19/11/2010,12.2924
20/11/2010,N/E
21/11/2010,N/E
22/11/2010,12.2996
23/11/2010,12.3090
24/11/2010,12.4577
25/11/2010,12.3912
26/11/2010,12.3669
27/11/2010,N/E
28/11/2010,N/E
29/11/2010,12.4890
30/11/2010,12.5538
01/12/2010,12.4664
02/12/2010,12.3967
03/12/2010,12.3546
04/12/2010,N/E
05/12/2010,N/E
06/12/2010,12.3597
07/12/2010,12.3884
08/12/2010,12.4123
09/12/2010,12.4484
10/12/2010,12.4586
11/12/2010,N/E
12/12/2010,N/E
13/12/2010,12.4617
14/12/2010,12.3869
15/12/2010,12.3703
16/12/2010,12.3963
17/12/2010,12.4505
18/12/2010,N/E
19/12/2010,N/E
20/12/2010,12.4345
21/12/2010,12.4170
22/12/2010,12.3720
23/12/2010,12.3379
24/12/2010,12.3332
25/12/2010,N/E
26/12/2010,N/E
27/12/2010,12.3459
