Date,montoSpei,montoCodi,tc
30/04/2022,"19,811,008,486","5,871,540",N/E
1/5/2022,"9,284,404,076","3,740,561",N/E
2/5/2022,"558,513,964,792","8,339,026",20.3728
3/5/2022,"451,099,586,608","6,457,816",20.4075
4/5/2022,"483,000,240,259","5,923,054",20.335
5/5/2022,"465,196,830,032","6,271,917",20.2535
6/5/2022,"535,450,150,612","10,536,929",20.2218
7/5/2022,"12,170,540,488","4,201,936",N/E
8/5/2022,"5,637,751,131","2,425,230",N/E
9/5/2022,"512,086,660,961","8,574,079",20.1085
10/5/2022,"503,624,708,095","6,088,406",20.3172
11/5/2022,"488,639,276,091","6,244,256",20.372
12/5/2022,"555,697,437,584","8,266,592",20.2592
13/05/2022,"604,384,055,138","10,437,192",20.32
14/05/2022,"15,135,132,136","5,285,865",N/E
15/05/2022,"8,523,961,829","3,266,966",N/E
16/05/2022,"599,066,536,069","7,287,665",20.1443
17/05/2022,"522,450,502,615","7,114,236",20.0782
18/05/2022,"488,882,037,924","6,708,118",19.9637
19/05/2022,"478,320,483,200","6,069,137",19.9663
20/05/2022,"543,585,981,425","6,192,203",19.9267
21/05/2022,"12,370,520,708","4,158,177",N/E
22/05/2022,"5,603,940,783","2,237,035",N/E
23/05/2022,"546,675,871,122","5,582,033",19.8657
24/05/2022,"456,495,635,363","6,311,072",19.8282
25/05/2022,"505,335,229,804","5,638,452",19.887
26/05/2022,"516,055,936,423","5,127,203",19.8377
27/05/2022,"589,316,098,427","14,924,737",19.7933
28/05/2022,"13,600,911,904","4,648,471",N/E
29/05/2022,"6,556,707,873","2,892,947",N/E
30/05/2022,"560,454,418,787","7,989,936",19.5965
31/05/2022,"728,667,860,414","8,863,332",19.4953
1/6/2022,"564,720,410,532","7,244,597",19.694
2/6/2022,"478,641,174,889","7,235,645",19.7388
3/6/2022,"518,011,659,800","8,602,742",19.5585
4/6/2022,"12,911,063,572","4,410,219",N/E
5/6/2022,"6,184,532,406","2,423,962",N/E
6/6/2022,"512,417,018,285","7,966,468",19.5742
7/6/2022,"432,515,812,692","6,691,915",19.5547
8/6/2022,"459,901,935,477","5,796,560",19.5998
9/6/2022,"481,491,607,953","5,506,668",19.59
10/6/2022,"580,627,033,885","7,370,508",19.6128
11/6/2022,"12,391,667,889","4,078,413",N/E
12/6/2022,"5,840,123,837","2,112,622",N/E
13/06/2022,"604,843,659,362","7,205,525",19.9297
14/06/2022,"543,303,369,244","7,902,706",20.4527
15/06/2022,"600,591,221,034","8,315,438",20.6583
16/06/2022,"513,313,652,804","7,235,548",20.6675
17/06/2022,"585,690,017,164","7,410,690",20.5728
18/06/2022,"12,910,697,660","4,084,864",N/E
19/06/2022,"5,518,339,353","2,336,521",N/E
20/06/2022,"568,203,614,227","6,718,968",20.476
21/06/2022,"505,362,337,328","5,858,637",20.2442
22/06/2022,"471,925,121,424","5,899,767",20.1963
23/06/2022,"505,105,124,553","6,058,099",20.0465
24/06/2022,"580,563,792,088","14,680,290",20.0365
25/06/2022,"12,190,844,445","3,963,956",N/E
26/06/2022,"5,773,218,456","2,002,197",N/E
27/06/2022,"587,109,296,937","7,565,456",19.8707
28/06/2022,"698,190,811,475","7,172,605",19.8797
29/06/2022,"568,269,057,728","8,372,027",19.9847
30/06/2022,"734,710,610,945","9,255,037",20.1443
1/7/2022,"579,972,273,128","9,647,633",20.1335
2/7/2022,"14,503,291,257","5,210,179",N/E
3/7/2022,"6,999,122,347","2,748,023",N/E
4/7/2022,"478,612,679,148","6,931,161",20.3817
5/7/2022,"514,213,259,581","6,457,083",20.2877
6/7/2022,"524,726,922,080","5,837,419",20.5598
7/7/2022,"506,789,106,981","7,167,629",20.7228
8/7/2022,"520,725,727,946","9,005,572",20.6022
9/7/2022,"12,748,249,841","4,369,091",N/E
10/7/2022,"6,154,271,728","2,558,428",N/E
11/7/2022,"535,815,128,400","7,861,506",20.4423
12/7/2022,"480,534,137,108","5,732,793",20.7473
13/07/2022,"491,219,168,883","6,724,656",20.7882
14/07/2022,"553,206,981,156","8,896,633",20.7613
15/07/2022,"646,706,922,057","10,870,205",20.9415
16/07/2022,"15,213,342,534","5,042,692",N/E
17/07/2022,"6,968,272,259","2,627,234",N/E
18/07/2022,"626,770,523,883","6,833,508",20.611
19/07/2022,"471,750,477,201","7,534,450",20.3957
20/07/2022,"500,395,953,717","6,878,907",20.4407
21/07/2022,"466,292,663,705","6,753,102",20.4913
22/07/2022,"492,866,571,093","7,358,090",20.6562
23/07/2022,"12,762,619,336","3,961,934",N/E
24/07/2022,"5,937,574,313","2,230,201",N/E
25/07/2022,"570,572,927,789","6,838,396",20.515
26/07/2022,"456,304,437,707","6,452,954",20.4652
27/07/2022,"489,138,162,960","6,109,240",20.433
28/07/2022,"566,094,068,506","7,773,169",20.512
29/07/2022,"710,690,834,858","18,513,334",20.3778
30/07/2022,"20,165,177,944","5,806,881",N/E
31/07/2022,"8,956,391,127","3,431,297",N/E
1/8/2022,"579,821,897,817","8,752,635",20.3485
2/8/2022,"487,935,293,744","8,965,405",20.2633
3/8/2022,"472,978,711,419","6,742,513",20.5152
4/8/2022,"487,097,705,537","6,967,791",20.6305
5/8/2022,"546,229,045,712","9,827,824",20.3358
6/8/2022,"13,048,693,631","4,541,016",N/E
7/8/2022,"6,259,136,534","2,432,153",N/E
8/8/2022,"501,945,868,759","7,300,497",20.401
9/8/2022,"442,887,984,030","6,054,567",20.2789
10/8/2022,"490,293,300,398","6,951,657",20.2715
11/8/2022,"550,674,102,018","6,960,940",19.9562
12/8/2022,"643,498,100,848","9,985,691",19.9595
13/08/2022,"14,528,930,536","4,818,611",N/E
14/08/2022,"7,035,257,991","2,684,762",N/E
15/08/2022,"632,940,557,893","9,011,416",19.874
16/08/2022,"522,628,341,220","7,426,255",19.8618
17/08/2022,"544,986,509,727","6,820,106",19.9303
18/08/2022,"518,272,798,026","6,636,189",20.0387
19/08/2022,"519,786,885,107","9,248,902",20.0835
20/08/2022,"13,159,413,358","4,568,229",N/E
21/08/2022,"6,429,781,572","2,368,875",N/E
22/08/2022,"568,811,093,625","7,496,612",20.1957
23/08/2022,"474,740,808,083","6,223,648",20.1598
24/08/2022,"483,892,491,763","6,257,619",19.9982
25/08/2022,"508,477,030,296","6,762,215",19.9198
26/08/2022,"571,978,218,145","16,506,130",19.9437
27/08/2022,"14,036,193,653","4,557,073",N/E
28/08/2022,"6,336,802,322","2,092,654",N/E
29/08/2022,"618,174,167,947","8,483,246",19.9268
30/08/2022,"588,463,815,755","8,680,437",19.9945
31/08/2022,"715,513,653,762","8,729,507",20.1465
1/9/2022,"546,736,667,097","8,912,152",20.0962
2/9/2022,"521,596,684,547","10,861,374",20.2473
3/9/2022,"14,220,554,667","5,121,835",N/E
4/9/2022,"7,222,941,407","2,512,223",N/E
5/9/2022,"478,996,769,192","7,509,508",19.9753
6/9/2022,"509,219,768,626","6,443,873",19.962
7/9/2022,"462,632,248,388","6,492,855",20.138
8/9/2022,"469,189,592,361","7,406,417",20.0297
9/9/2022,"515,982,870,674","9,626,604",20.0203
10/9/2022,"13,346,099,110","4,719,794",N/E
11/9/2022,"6,151,844,400","2,525,657",N/E
12/9/2022,"576,537,366,024","8,255,716",19.9027
13/09/2022,"537,078,041,652","7,292,717",19.7957
14/09/2022,"592,409,412,837","9,318,639",20.055
15/09/2022,"647,521,185,707","11,340,774",19.9768
16/09/2022,"12,308,859,980","4,715,460",N/E
17/09/2022,"11,889,851,373","4,736,242",N/E
18/09/2022,"6,827,430,426","2,601,077",N/E
19/09/2022,"654,404,421,834","7,308,402",20.0525
20/09/2022,"525,659,060,678","6,597,468",19.9943
21/09/2022,"572,265,647,941","6,732,286",20
22/09/2022,"530,069,121,197","7,298,553",20.0027
23/09/2022,"540,306,456,034","12,554,634",19.9608
24/09/2022,"13,410,838,098","4,682,098",N/E
25/09/2022,"6,287,499,915","2,572,150",N/E
26/09/2022,"597,476,993,830","8,287,912",20.1627
27/09/2022,"487,476,459,033","6,824,385",20.3517
28/09/2022,"555,050,021,360","7,890,792",20.357
29/09/2022,"595,914,903,135","15,610,317",20.3058
30/09/2022,"769,524,524,900","12,115,764",20.1927
1/10/2022,"18,467,687,263","5,984,171",N/E
2/10/2022,"9,987,509,094","3,282,549",N/E
3/10/2022,"622,875,468,280","8,850,244",20.0925
4/10/2022,"491,176,373,881","7,199,215",20.0008
5/10/2022,"484,354,483,516","7,220,922",19.9698
6/10/2022,"517,260,745,069","7,862,751",20.1267
7/10/2022,"530,515,296,667","10,663,224",20.1087
8/10/2022,"13,694,913,993","5,360,050",N/E
9/10/2022,"6,592,184,424","2,726,279",N/E
10/10/2022,"491,596,353,561","9,158,345",20.0502
11/10/2022,"530,619,887,752","7,630,874",19.9752
12/10/2022,"467,433,665,439","6,602,883",19.9652
13/10/2022,"536,131,378,851","9,089,727",20.0352
14/10/2022,"606,545,159,419","12,716,437",20.0398
15/10/2022,"18,524,048,055","7,006,341",N/E
16/10/2022,"8,853,383,317","3,330,842",N/E
17/10/2022,"656,275,104,962","8,805,244",20.0838
18/10/2022,"500,215,847,305","6,870,777",19.9913
19/10/2022,"488,581,687,002","7,064,254",20.0207
20/10/2022,"531,625,652,482","7,673,853",20.1272
