Date,relacion mont/num,tc,montoSpei,numSpei
17/04/2010,#VALOR!,N/E,N/E,N/E
18/04/2010,#VALOR!,N/E,N/E,N/E
19/04/2010,"846,728",12.2356,"190,949,100,547","225,514"
20/04/2010,"893,153",12.3064,"170,472,498,626","190,866"
21/04/2010,"789,016",12.2188,"145,021,100,456","183,800"
22/04/2010,"803,564",12.1896,"161,152,423,451","200,547"
23/04/2010,"700,204",12.2405,"202,592,880,134","289,334"
24/04/2010,#VALOR!,N/E,N/E,N/E
25/04/2010,#VALOR!,N/E,N/E,N/E
26/04/2010,"1,014,358",12.1973,"215,847,372,162","212,792"
27/04/2010,"989,424",12.1575,"191,704,767,819","193,754"
28/04/2010,"858,478",12.2278,"179,402,947,190","208,978"
29/04/2010,"683,031",12.3698,"193,173,488,464","282,818"
30/04/2010,"570,824",12.2465,"255,281,506,593","447,216"
1/5/2010,#VALOR!,N/E,N/E,N/E
2/5/2010,#VALOR!,N/E,N/E,N/E
3/5/2010,"974,368",12.2626,"207,322,183,359","212,776"
4/5/2010,"833,960",12.2605,"158,534,143,463","190,098"
5/5/2010,"604,319",12.4288,"126,280,967,092","208,964"
6/5/2010,"758,586",12.6635,"165,983,261,637","218,806"
7/5/2010,"549,210",12.7884,"168,986,994,299","307,691"
8/5/2010,#VALOR!,N/E,N/E,N/E
9/5/2010,#VALOR!,N/E,N/E,N/E
10/5/2010,"775,019",12.9179,"157,521,058,431","203,248"
11/5/2010,"985,919",12.5297,"180,634,159,737","183,214"
12/5/2010,"859,855",12.5025,"168,567,709,217","196,042"
13/05/2010,"804,538",12.4351,"184,369,486,891","229,162"
14/05/2010,"466,251",12.3501,"195,299,282,999","418,872"
15/05/2010,#VALOR!,N/E,N/E,N/E
16/05/2010,#VALOR!,N/E,N/E,N/E
17/05/2010,"741,385",12.5684,"192,834,294,350","260,100"
18/05/2010,"845,433",12.6926,"171,886,687,803","203,312"
19/05/2010,"813,596",12.5787,"161,156,322,596","198,079"
20/05/2010,"824,372",12.9138,"177,666,287,196","215,517"
21/05/2010,"658,444",13.1412,"193,481,036,611","293,846"
22/05/2010,#VALOR!,N/E,N/E,N/E
23/05/2010,1,N/E,1,1
24/05/2010,"982,733",13.0338,"202,155,087,351","205,707"
25/05/2010,"962,975",12.9588,"197,229,802,507","204,813"
26/05/2010,"1,049,431",13.1819,"205,295,914,931","195,626"
27/05/2010,"892,360",12.9955,"209,371,680,483","234,627"
28/05/2010,"705,083",12.8846,"243,464,551,749","345,299"
29/05/2010,#VALOR!,N/E,N/E,N/E
30/05/2010,#VALOR!,N/E,N/E,N/E
31/05/2010,"498,602",12.8589,"198,273,474,042","397,659"
1/6/2010,"901,038",12.9146,"191,453,505,612","212,481"
2/6/2010,"848,687",12.9012,"165,491,434,578","194,997"
3/6/2010,"741,072",12.8625,"174,163,668,611","235,016"
4/6/2010,"589,368",12.7644,"182,482,547,202","309,624"
