Date,montoSpei,numSpei,tc
11/7/2021,"3,617,958,730","2,353,839",N/E
12/7/2021,"488,563,726,620","5,121,661",19.88
13/07/2021,"439,911,170,794","5,095,088",19.8577
14/07/2021,"459,399,589,464","6,127,318",19.9988
15/07/2021,"483,720,677,750","8,417,965",19.8992
16/07/2021,"490,747,161,112","7,557,137",19.9412
17/07/2021,"9,426,062,445","3,863,285",N/E
18/07/2021,"4,102,838,015","2,665,094",N/E
19/07/2021,"555,648,478,714","5,369,787",19.8537
20/07/2021,"425,482,837,356","4,840,437",20
21/07/2021,"401,553,868,146","4,690,035",20.1348
22/07/2021,"413,160,834,636","4,862,528",20.1907
23/07/2021,"426,660,353,411","6,297,122",20.1812
24/07/2021,"8,490,636,357","3,430,976",N/E
25/07/2021,"3,543,221,008","2,330,210",N/E
26/07/2021,"488,796,457,093","5,046,320",20.0238
27/07/2021,"423,555,328,417","4,607,580",20.0245
28/07/2021,"453,828,537,493","4,849,226",19.977
29/07/2021,"558,192,949,070","6,238,333",19.9535
30/07/2021,"646,300,799,885","9,995,857",19.8448
31/07/2021,"13,538,665,137","4,740,710",N/E
1/8/2021,"5,456,197,688","3,136,146",N/E
2/8/2021,"514,199,828,579","6,241,451",19.8455
3/8/2021,"419,103,352,542","5,286,481",19.852
4/8/2021,"408,516,431,916","5,027,956",19.892
5/8/2021,"424,109,241,467","5,329,249",19.9547
6/8/2021,"405,679,880,752","6,604,807",19.9293
7/8/2021,"8,320,952,512","3,347,058",N/E
8/8/2021,"3,964,773,394","2,580,551",N/E
9/8/2021,"456,649,916,539","5,283,641",20.0037
10/8/2021,"404,760,191,138","4,995,646",20.0648
11/8/2021,"401,609,167,493","4,714,175",20.1038
12/8/2021,"452,804,587,311","5,497,417",19.953
13/08/2021,"503,396,826,872","9,600,827",19.8907
14/08/2021,"10,992,066,476","4,602,047",N/E
15/08/2021,"5,483,468,042","3,380,029",N/E
16/08/2021,"482,979,811,924","6,599,139",19.8603
17/08/2021,"471,017,768,376","5,416,402",19.8863
18/08/2021,"401,135,422,004","5,017,404",19.9912
19/08/2021,"402,196,610,943","5,025,383",20.0107
20/08/2021,"451,736,471,102","6,695,569",20.1175
21/08/2021,"8,739,703,746","3,593,964",N/E
22/08/2021,"3,841,343,302","2,550,767",N/E
23/08/2021,"456,389,161,099","5,230,205",20.402
24/08/2021,"414,097,924,732","4,764,319",20.3907
25/08/2021,"436,568,825,655","4,855,591",20.2967
26/08/2021,"476,129,148,573","5,346,879",20.2933
27/08/2021,"496,881,284,200","7,313,678",20.3522
28/08/2021,"10,585,429,521","4,102,335",N/E
29/08/2021,"4,504,297,696","2,808,658",N/E
30/08/2021,"519,631,502,735","7,790,495",20.2293
31/08/2021,"607,283,539,443","8,551,128",20.1403
1/9/2021,"440,936,855,971","6,538,710",20.0605
2/9/2021,"403,912,322,892","5,847,145",19.9615
3/9/2021,"434,955,972,511","7,108,594",19.9703
4/9/2021,"9,414,021,237","4,019,045",N/E
5/9/2021,"4,447,489,891","2,851,123",N/E
6/9/2021,"406,381,872,283","5,615,928",19.8992
7/9/2021,"409,983,181,347","4,923,230",19.8878
8/9/2021,"388,402,610,802","4,675,884",19.944
9/9/2021,"414,282,544,682","5,197,791",19.9383
10/9/2021,"447,598,451,871","7,094,503",19.9318
11/9/2021,"9,209,230,971","3,894,544",N/E
12/9/2021,"2,559,235,843","1,659,343",N/E
13/09/2021,"503,252,092,203","6,231,848",19.8717
14/09/2021,"455,878,898,830","7,104,394",19.8677
15/09/2021,"516,847,672,208","8,727,261",19.9035
16/09/2021,"8,210,446,258","3,579,590",N/E
17/09/2021,"528,471,384,340","7,528,987",19.9003
18/09/2021,"9,470,702,238","4,055,467",N/E
19/09/2021,"4,200,240,028","2,790,006",N/E
