Date,montoSpei,montoCodi,tc
19/05/2010,"161,156,322,596",,12.5787
20/05/2010,"177,666,287,196",,12.9138
21/05/2010,"193,481,036,611",,13.1412
22/05/2010,N/E,,N/E
23/05/2010,1,,N/E
24/05/2010,"202,155,087,351",,13.0338
25/05/2010,"197,229,802,507",,12.9588
26/05/2010,"205,295,914,931",,13.1819
27/05/2010,"209,371,680,483",,12.9955
28/05/2010,"243,464,551,749",,12.8846
29/05/2010,N/E,,N/E
30/05/2010,N/E,,N/E
31/05/2010,"198,273,474,042",,12.8589
1/6/2010,"191,453,505,612",,12.9146
2/6/2010,"165,491,434,578",,12.9012
3/6/2010,"174,163,668,611",,12.8625
4/6/2010,"182,482,547,202",,12.7644
5/6/2010,3,,N/E
6/6/2010,N/E,,N/E
7/6/2010,"173,812,641,048",,12.8603
8/6/2010,"215,135,961,130",,12.9202
9/6/2010,"144,916,233,242",,12.9288
10/6/2010,"208,059,065,932",,12.8093
11/6/2010,"188,649,739,659",,12.7441
12/6/2010,N/E,,N/E
13/06/2010,N/E,,N/E
14/06/2010,"196,854,920,127",,12.6748
15/06/2010,"169,918,841,585",,12.5974
16/06/2010,"156,588,254,002",,12.6001
17/06/2010,"190,935,697,717",,12.5878
18/06/2010,"157,622,965,117",,12.5925
19/06/2010,3,,N/E
20/06/2010,N/E,,N/E
21/06/2010,"147,763,298,953",,12.54
22/06/2010,"136,285,209,447",,12.4604
23/06/2010,"155,873,685,161",,12.5246
24/06/2010,"159,348,740,158",,12.6984
25/06/2010,"181,359,290,586",,12.7141
26/06/2010,N/E,,N/E
27/06/2010,N/E,,N/E
28/06/2010,"199,329,171,541",,12.7042
29/06/2010,"191,819,959,419",,12.6567
30/06/2010,"224,537,483,496",,12.8394
1/7/2010,"186,691,692,781",,12.8441
2/7/2010,"159,353,808,761",,13.0325
3/7/2010,N/E,,N/E
4/7/2010,N/E,,N/E
5/7/2010,"140,432,424,178",,13.059
6/7/2010,"190,752,941,866",,13.0953
7/7/2010,"179,825,039,425",,12.9308
8/7/2010,"195,028,219,716",,12.8975
9/7/2010,"193,814,072,896",,12.8232
10/7/2010,N/E,,N/E
11/7/2010,N/E,,N/E
12/7/2010,"161,703,075,684",,12.7859
13/07/2010,"158,370,497,796",,12.8233
14/07/2010,"168,088,258,967",,12.714
15/07/2010,"170,773,706,903",,12.7176
16/07/2010,"177,068,141,652",,12.7795
17/07/2010,N/E,,N/E
18/07/2010,N/E,,N/E
19/07/2010,"183,001,357,395",,12.9013
20/07/2010,"162,911,498,374",,12.9162
21/07/2010,"147,999,414,013",,12.8549
22/07/2010,"146,451,727,031",,12.7798
23/07/2010,"147,512,104,922",,12.756
24/07/2010,N/E,,N/E
25/07/2010,N/E,,N/E
26/07/2010,"166,752,131,229",,12.7749
